,G 1  D Comdty/PX LAST,JB1  D Comdty/PX LAST,RX1  D Comdty/PX LAST,TY1  D Comdty/PX LAST,GDBR10 Index/PX LAST,GJGB10 Index/PX LAST,GUKG10 Index/PX LAST,USGG10Y Index/PX LAST,GX1  D Index/PX LAST,NK1  D Index/PX LAST,SP1  D Index/PX LAST,Z 1  D Index/PX LAST,DAX Index/DV014,NKY Index/DV014,SPX Index/DV014,UKX Index/DV014,G 1  N Comdty/PX LAST,JB1  N Comdty/PX LAST,RX1  N Comdty/PX LAST,TY1  N Comdty/PX LAST,DAX Index/PX LAST,NKY Index/PX LAST,SPX Index/PX LAST,UKX Index/PX LAST
2000-01-04,63.93,99.38,73.68,45.5,5.492,1.738,5.662,6.497,8014.4,17600.0,1533.6,6202.5,1.8923,0.4189,1.1648,2.4453,109.9,132.05,103.16,95.5625,6586.95,19002.86,1399.42,6665.9
2000-01-05,63.23,99.78,73.41,44.8125,5.516,1.699,5.754,6.594,7916.4,16990.0,1535.3,6064.5,1.917,0.4293,1.1633,2.4939,109.2,132.45,102.89,94.875,6502.07,18542.55,1402.11,6535.9
2000-01-06,63.11,99.97,73.27,45.140625,5.545,1.685,5.763,6.524,7889.9,16510.0,1525.8,5983.0,1.925,0.4382,1.1621,2.5282,109.08,132.64,102.75,95.203125,6474.92,18168.27,1403.45,6447.2
2000-01-07,63.6,99.53,74.11,45.515625,5.443,1.719,5.707,6.515,8214.4,16780.0,1582.3,6027.0,1.8381,0.4376,1.1315,2.5058,109.57,132.2,103.59,95.578125,6780.96,18193.41,1441.47,6504.8
2000-01-10,64.23,99.53,74.17,45.28125,5.415,1.719,5.63,6.552,8344.4,16780.0,1596.8,6138.0,1.7998,0.4376,1.1197,2.4668,110.2,132.2,103.65,95.34375,6925.52,18193.41,1457.6,6607.7
2000-01-11,63.53,99.63,73.28,44.5,5.541,1.714,5.715,6.657,8322.9,17440.0,1576.1,6038.0,1.8087,0.4223,1.1345,2.4662,109.5,132.3,102.76,94.5625,6891.25,18850.92,1438.56,6518.9
2000-01-12,63.19,99.33,73.32,44.328125,5.549,1.738,5.757,6.703,8322.4,17230.0,1563.8,6063.0,1.8031,0.4262,1.1402,2.461,109.16,132.0,102.8,94.390625,6912.81,18677.42,1432.25,6532.8
2000-01-13,63.97,99.41,73.44,44.953125,5.514,1.817,5.663,6.63,8393.4,17530.0,1580.3,6051.0,1.7919,0.4227,1.1265,2.4615,109.94,132.08,102.92,95.015625,6955.98,18833.29,1449.68,6531.5
2000-01-14,63.6,99.7,73.18,44.546875,5.552,1.8,5.71,6.679,8613.4,17460.0,1599.8,6185.0,1.7376,0.42,1.1146,2.4146,109.57,132.37,102.66,94.609375,7173.22,18956.55,1465.15,6658.2
2000-01-17,63.15,99.73,73.19,44.546875,5.559,1.8,5.77,6.681,8691.4,17910.0,1599.8,6200.0,1.7171,0.4096,1.1146,2.4135,109.12,132.4,102.67,94.609375,7258.9,19437.23,1465.15,6669.5
2000-01-18,62.39,100.11,72.58,44.0625,5.644,1.765,5.867,6.748,8507.4,17760.0,1591.3,6006.5,1.7625,0.4147,1.1224,2.4747,108.36,132.78,102.06,94.125,7072.12,19196.57,1455.14,6504.6
