,ED3  D Comdty,ED8  D Comdty,ED12  D Comdty,ER3  D Comdty,ER6  D Comdty,ER10  D Comdty,L 3  D Comdty,L 6  D Comdty,L 9  D Comdty,ES3  D Comdty,ES5  D Comdty,BA3  D Comdty,BA5  D Comdty,ED3  N Comdty,ED8  N Comdty,ED12  N Comdty,ER3  N Comdty,ER6  N Comdty,ER10  N Comdty,L 3  N Comdty,L 6  N Comdty,L 9  N Comdty,ES3  N Comdty,ES5  N Comdty,BA3  N Comdty,BA5  N Comdty,ED2  N Comdty,ED7  N Comdty,ED11  N Comdty,ER2  N Comdty,ER5  N Comdty,ER9  N Comdty,L 2  N Comdty,L 5  N Comdty,L 8  N Comdty,ES2  N Comdty,ES4  N Comdty,BA2  N Comdty,BA4  N Comdty
2000-01-04,85.97,84.36,86.035,90.915,89.195,89.45,88.31,86.85,88.615,91.02,90.39,86.14,83.82,93.265,92.82,92.79,95.65,95.005,94.555,92.87,92.56,92.58,97.34,96.82,93.81,93.42,93.495,92.895,92.845,95.945,95.17,94.63,93.15,92.6,92.53,97.63,96.93,94.11,93.61
2000-01-05,85.915,84.29,85.945,90.925,89.23,89.47,88.28,86.85,88.625,90.99,90.38,86.02,83.7,93.21,92.75,92.7,95.66,95.04,94.575,92.84,92.56,92.59,97.31,96.81,93.69,93.3,93.45,92.83,92.76,95.95,95.2,94.655,93.12,92.59,92.53,97.6,96.92,93.99,93.46
2000-01-06,85.945,84.325,85.985,90.94,89.225,89.44,88.3,86.86,88.625,90.93,90.35,86.07,83.75,93.24,92.785,92.74,95.675,95.035,94.545,92.86,92.57,92.59,97.25,96.78,93.74,93.35,93.47,92.865,92.8,95.96,95.2,94.635,93.14,92.61,92.53,97.54,96.87,94.04,93.51
2000-01-07,85.985,84.385,86.045,91.005,89.325,89.555,88.36,86.92,88.675,90.94,90.36,86.12,83.81,93.28,92.845,92.8,95.74,95.135,94.66,92.92,92.63,92.64,97.26,96.79,93.79,93.41,93.51,92.93,92.86,96.0,95.3,94.75,93.17,92.67,92.58,97.55,96.88,94.1,93.56
2000-01-10,85.95,84.335,85.995,91.04,89.39,89.635,88.38,86.96,88.725,90.96,90.38,86.08,83.77,93.245,92.795,92.75,95.775,95.2,94.74,92.94,92.67,92.69,97.28,96.81,93.75,93.37,93.48,92.87,92.81,96.04,95.35,94.83,93.18,92.7,92.63,97.58,96.91,94.07,93.52
2000-01-11,85.865,84.225,85.88,90.965,89.27,89.48,88.34,86.93,88.705,90.88,90.32,86.02,83.71,93.16,92.685,92.635,95.7,95.08,94.585,92.9,92.64,92.67,97.2,96.75,93.69,93.31,93.41,92.77,92.695,95.99,95.245,94.67,93.13,92.67,92.62,97.51,96.84,94.02,93.46
2000-01-12,85.845,84.195,85.845,90.975,89.255,89.435,88.35,86.93,88.685,90.87,90.32,86.02,83.71,93.14,92.655,92.6,95.71,95.065,94.54,92.91,92.64,92.65,97.19,96.75,93.69,93.31,93.39,92.74,92.66,96.005,95.245,94.63,93.15,92.68,92.58,97.51,96.85,94.02,93.46
2000-01-13,85.9,84.28,85.93,91.005,89.295,89.46,88.39,86.97,88.725,90.9,90.34,86.06,83.76,93.195,92.74,92.685,95.74,95.105,94.565,92.95,92.68,92.69,97.22,96.77,93.73,93.36,93.43,92.82,92.745,96.025,95.285,94.655,93.19,92.73,92.63,97.54,96.87,94.06,93.51
2000-01-14,85.88,84.23,85.875,91.035,89.3,89.425,88.36,86.96,88.695,90.9,90.33,86.05,83.75,93.175,92.69,92.63,95.77,95.11,94.53,92.92,92.67,92.66,97.22,96.76,93.72,93.35,93.415,92.77,92.69,96.06,95.295,94.63,93.17,92.72,92.61,97.54,96.87,94.04,93.5
2000-01-18,85.87,84.18,85.815,90.98,89.22,89.33,88.27,86.82,88.545,90.8,90.23,85.95,83.65,93.165,92.64,92.57,95.715,95.03,94.435,92.83,92.53,92.51,97.12,96.66,93.62,93.25,93.41,92.73,92.635,96.01,95.225,94.535,93.11,92.58,92.46,97.45,96.77,93.97,93.39
2000-01-19,85.885,84.2,85.84,91.035,89.27,89.365,88.34,86.88,88.555,90.85,90.28,85.97,83.67,93.18,92.66,92.595,95.77,95.08,94.47,92.9,92.59,92.52,97.17,96.71,93.64,93.27,93.42,92.755,92.66,96.05,95.28,94.575,93.15,92.65,92.49,97.52,96.82,93.98,93.41
2000-01-20,85.89,84.175,85.82,91.035,89.25,89.325,88.32,86.85,88.515,90.79,90.22,85.95,83.64,93.185,92.635,92.575,95.77,95.06,94.43,92.88,92.56,92.48,97.11,96.65,93.62,93.24,93.435,92.73,92.64,96.05,95.27,94.535,93.14,92.63,92.46,97.46,96.76,93.97,93.39
2000-01-21,85.9,84.2,85.835,91.03,89.235,89.305,88.34,86.85,88.525,90.76,90.21,86.01,83.68,93.195,92.66,92.59,95.765,95.045,94.41,92.9,92.56,92.49,97.08,96.64,93.68,93.28,93.455,92.75,92.66,96.05,95.265,94.515,93.16,92.64,92.46,97.42,96.74,94.04,93.44
2000-01-24,85.935,84.285,85.92,91.005,89.26,89.33,88.38,86.91,88.575,90.78,90.23,86.12,83.79,93.23,92.745,92.675,95.74,95.07,94.435,92.94,92.62,92.54,97.1,96.66,93.79,93.39,93.48,92.82,92.745,96.025,95.27,94.545,93.21,92.69,92.52,97.43,96.76,94.15,93.55
2000-01-25,85.93,84.27,85.915,91.035,89.3,89.385,88.43,86.95,88.615,90.81,90.26,86.14,83.81,93.225,92.73,92.67,95.77,95.11,94.49,92.99,92.66,92.58,97.13,96.69,93.81,93.41,93.475,92.815,92.74,96.04,95.31,94.605,93.26,92.74,92.56,97.44,96.79,94.16,93.57
2000-01-26,85.91,84.245,85.89,91.0,89.28,89.37,88.51,87.03,88.675,90.83,90.28,86.17,83.83,93.205,92.705,92.645,95.735,95.09,94.475,93.07,92.74,92.64,97.15,96.71,93.84,93.43,93.46,92.79,92.715,96.0,95.285,94.59,93.31,92.81,92.62,97.46,96.81,94.18,93.59
2000-01-27,85.875,84.18,85.825,90.89,89.16,89.265,88.47,86.99,88.615,90.78,90.23,86.12,83.74,93.17,92.64,92.58,95.625,94.97,94.37,93.03,92.7,92.58,97.1,96.66,93.79,93.34,93.445,92.735,92.65,95.915,95.17,94.5,93.28,92.77,92.57,97.41,96.76,94.15,93.52
2000-01-28,85.765,84.085,85.755,90.895,89.185,89.305,88.43,86.94,88.575,90.74,90.2,86.03,83.63,93.06,92.545,92.51,95.63,94.995,94.41,92.99,92.65,92.54,97.06,96.63,93.7,93.23,93.36,92.63,92.575,95.92,95.185,94.535,93.26,92.73,92.53,97.36,96.73,94.06,93.43
2000-01-31,85.725,83.975,85.67,90.9,89.215,89.345,88.43,86.92,88.565,90.68,90.17,85.96,83.55,93.02,92.435,92.425,95.635,95.025,94.45,92.99,92.63,92.53,97.0,96.6,93.63,93.15,93.305,92.515,92.48,95.935,95.205,94.575,93.26,92.72,92.52,97.3,96.7,93.97,93.35
2000-02-01,85.74,84.015,85.71,90.94,89.295,89.47,88.54,87.03,88.675,90.75,90.22,86.0,83.63,93.035,92.475,92.465,95.675,95.105,94.575,93.1,92.74,92.64,97.07,96.65,93.67,93.23,93.315,92.55,92.52,95.96,95.275,94.68,93.36,92.82,92.63,97.37,96.75,93.99,93.41
2000-02-02,85.68,83.96,85.655,90.925,89.28,89.465,88.62,87.08,88.695,90.72,90.19,86.0,83.64,92.975,92.42,92.41,95.66,95.09,94.57,93.18,92.79,92.66,97.04,96.62,93.67,93.24,93.27,92.495,92.465,95.94,95.255,94.67,93.42,92.87,92.66,97.34,96.72,94.0,93.41
