,USFS0C10 Curncy,EUSAC10 Curncy,BPSW0C10 Curncy,USSV0C10 Curncy,EUSV0C10 Curncy,BPSV0C10 Curncy,USSV0A10 Curncy,EUSV0A10 Curncy,BPSV0A10 Curncy,USSV0110 Curncy,EUSV0110 Curncy,BPSV0110 Curncy,DV01 USD,DV01 EUR,DV01 GBP
11/8/2002,4.43302,4.75903,4.96504,31.82156634,15.3688924,16.00352062,31.45665709,15.76066972,15.9155314,30.5230881,14.0980641,15.61705847,8.27878,7.89205,7.79287
11/11/2002,4.43302,4.73503,4.91689,31.82156634,15.45279122,15.98434986,31.45665709,15.35832508,15.44527943,30.5230881,14.17206016,15.72331901,8.27878,7.90295,7.81426
11/12/2002,4.46179,4.69065,4.8837,30.76891561,15.53652905,16.09295002,30.39515979,15.65871894,15.55021398,29.5015812,14.1878439,15.82992403,8.27558,7.91961,7.82538
11/13/2002,4.46399,4.6874,4.90649,30.88573899,15.53369459,16.01841846,30.46819773,15.51763664,15.47808311,29.58850042,14.15596493,15.75768625,8.26961,7.91647,7.81675
11/14/2002,4.65059,4.7394,4.9485,29.98204314,15.27166941,15.88248762,29.41493875,15.71820062,15.85264828,28.6894093,13.95240959,15.62338688,8.20457,7.90275,7.80298
11/15/2002,4.67312,4.73213,4.95591,30.06942899,15.43313476,16.03299899,29.43357543,15.84953076,15.94494452,28.84959727,14.00875927,15.6461437,8.19172,7.90444,7.79553
11/18/2002,4.61628,4.74473,4.96598,31.2742403,15.20237611,15.82708549,30.72236736,15.21510181,15.29288076,29.28243521,13.92365214,15.56963379,8.20978,7.89957,7.79334
11/19/2002,4.57262,4.70969,4.94871,30.97911701,15.07576295,15.72153349,30.61031094,14.96223106,15.19104171,29.63358643,13.90779011,15.46401992,8.22368,7.91297,7.80052
11/20/2002,4.67054,4.68331,4.93631,29.90518013,15.15930186,15.76093276,29.46917273,15.05011413,15.22918334,29.10732164,13.97481269,15.50324433,8.17454,7.91886,7.80623
11/21/2002,4.74612,4.76923,5.02817,29.43895435,14.89577353,15.60935291,29.02645319,15.2987694,15.58116173,28.68920508,13.7087056,15.33738119,8.14924,7.89246,7.77101
11/22/2002,4.7895,4.76861,5.0293,29.03467794,15.04039332,15.64002346,28.61879319,15.40621691,15.55408705,28.26300449,13.74458595,15.26124113,8.12954,7.89355,7.76549
11/25/2002,4.79329,4.80853,5.02128,28.68353469,14.66596444,15.40669909,28.26046411,15.05573429,15.37845729,28.17734166,13.64008959,14.99265327,8.13,7.87747,7.76963
11/26/2002,4.68374,4.73994,4.99295,29.19137698,14.74788921,15.4231927,28.76568084,15.13649118,15.50574109,28.70369192,13.78594455,15.01090337,8.17488,7.90335,7.77871
11/27/2002,4.85816,4.79731,5.06932,28.71259283,14.23846906,15.42320469,28.14273717,14.42684755,15.62923627,27.88953431,13.28726724,14.99864282,8.10278,7.8798,7.74689
11/28/2002,4.85816,4.78408,5.06458,28.71259283,14.1628798,15.42320587,28.14273717,14.80473571,16.14984461,27.88953431,13.33409349,14.98552693,8.10278,7.88627,7.74287
11/29/2002,4.834,4.75304,5.05178,28.87393877,14.40286006,15.12211933,28.32141911,15.02529329,15.1337291,28.00836781,13.44399163,14.846466,8.11632,7.89841,7.74729
12/2/2002,4.81557,4.78176,5.08935,29.42866784,14.44532139,14.84331398,29.27136974,14.7222027,14.46260328,28.30353001,13.15690039,14.72224744,8.11532,7.88668,7.73213
12/3/2002,4.81108,4.74281,5.05359,29.61542315,14.50550834,14.99951915,29.46805499,14.515922,14.56505375,28.48023936,13.30632051,14.6703769,8.11752,7.90221,7.74843
12/4/2002,4.76198,4.73631,5.03261,29.92783674,14.51050924,15.0626494,29.77699402,14.944575,15.09302529,28.77975968,13.31525175,14.82639028,8.14187,7.90265,7.75281
